53391362,LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,,150 VIA MERIDA,WESTLAKE VILAGE,VENTURA,CA,USA,91362,GENERAL ACUTE CARE,62,34.15493887,-118.8157364
11190023,EAST LOS ANGELES DOCTORS HOSPITAL,,4060 WHITTIER BOULEVARD,LOS ANGELES,LOS ANGELES,CA,USA,90023,GENERAL ACUTE CARE,127,34.0236473,-118.1841648
17090028,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,6245 DE LONGPRE AVENUE,HOLLYWOOD,LOS ANGELES,CA,USA,90028,GENERAL ACUTE CARE,100,34.09639136,-118.3252349
23691706,KINDRED HOSPITAL BALDWIN PARK,,14148 FRANCISQUITO AVENUE,BALDWIN PARK,LOS ANGELES,CA,USA,91706,GENERAL ACUTE CARE,95,34.06303893,-117.9674378
25190712,LAKEWOOD REGIONAL MEDICAL CENTER,,3700 EAST SOUTH STREET,LAKEWOOD,LOS ANGELES,CA,USA,90712,GENERAL ACUTE CARE,172,33.85970662,-118.148403
30791016,MONROVIA MEMORIAL HOSPITAL,,323 SOUTH HELIOTROPE AVENUE,MONROVIA,LOS ANGELES,CA,USA,91016,GENERAL ACUTE CARE,49,34.14875866,-117.9926677
30891754,MONTEREY PARK HOSPITAL,,900 SOUTH ATLANTIC BOULEVARD,MONTEREY PARK,LOS ANGELES,CA,USA,91754,GENERAL ACUTE CARE,101,34.04946606,-118.1382622
47090505,STAR VIEW ADOLESCENT - P H F,,4025 WEST 226 STREET,TORRANCE,LOS ANGELES,CA,USA,90505,PSYCHIATRIC,16,33.82391446,-118.3560969
9092879,CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,,730 MAGNOLIA AVENUE,CORONA,RIVERSIDE,CA,USA,92879,GENERAL ACUTE CARE,78,33.85808331,-117.553858
30696101,MODOC MEDICAL CENTER,,228 MC DOWELL STREET,ALTURAS,MODOC,CA,USA,96101,GENERAL ACUTE CARE,87,41.48005626,-120.545744
38593901,SALINAS VALLEY MEMORIAL HOSPITAL,,450 EAST ROMIE LANE,SALINAS,MONTEREY,CA,USA,93901,GENERAL ACUTE CARE,269,36.65903046,-121.6459838
15992866,HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,,"393 S, TUSTIN STREET",ORANGE,ORANGE,CA,USA,92866,CHILDREN,27,33.78272717,-117.8338919
16192680,HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,,14851 YORBA STREET,TUSTIN,ORANGE,CA,USA,92680,GENERAL ACUTE CARE,48,33.74746074,-117.8310556
23792621,KINDRED HOSPITAL BREA,,875 NORTH BREA BOULEVARD,BREA,ORANGE,CA,USA,92621,GENERAL ACUTE CARE,86,33.93449589,-117.8939488
24392683,KINDRED HOSPITAL WESTMINSTER,,200 HOSPITAL CIRCLE,WESTMINSTER,ORANGE,CA,USA,92683,GENERAL ACUTE CARE,109,33.76353321,-117.995256
22093277,KAWEAH DELTA  MENTAL HEALTH HOSPITAL D/P APH,,1100 SO. AKERS STREET,VISALIA,TULARE,CA,USA,93277,GENERAL ACUTE CARE,63,36.32084395,-119.3482345
5870563,DAUTERIVE HOSPITAL,,600 N LEWIS AVE.,NEW IBERIA,IBERIA,LA,USA,70563,GENERAL ACUTE CARE,103,30.00690698,-91.79452385
2070364,COMPASS BEHAVIORAL CENTER OF HOUMA,,4701 W PARK AVE,HOUMA,TERREBONNE,LA,USA,70364,PSYCHIATRIC,-999,29.62086075,-90.74930615
4671360,CENTRAL LOUISIANA STATE HOSPITAL,,242 W SHAMROCK AVE,PINEVILLE,RAPIDES,LA,USA,71360,PSYCHIATRIC,128,31.32737894,-92.44013511
15671222,REEVES MEMORIAL MEDICAL CENTER,,409 1ST ST,BERNICE,UNION,LA,USA,71222,GENERAL ACUTE CARE,11,32.82399167,-92.65664868
16971241,SERENITY SPRINGS SPECIALTY HOSPITAL,,309 N MAIN ST,FARMERVILLE,UNION,LA,USA,71241,PSYCHIATRIC,18,32.77612793,-92.40562585
15371373,PROMISE HOSPITAL OF MISS-LOU,,209 FRONT ST.,VIDALIA,CONCORDIA,LA,USA,71373,LONG TERM CARE,40,31.56117486,-91.42606698
5371418,CITIZENS MEDICAL CENTER,,7939 HIGHWAY 165,COLUMBIA,CALDWELL,LA,USA,71418,GENERAL ACUTE CARE,40,32.06003995,-92.09913767
2054311,BROWN CTY COMMUNITY TREATMENT CENTER,,3150 GERSHWIN DRIVE,GREEN BAY,BROWN,WI,USA,54311,PSYCHIATRIC,16,44.52271226,-87.92482708
70990806,COLLEGE MEDICAL CENTER,PACIFIC HOSPITAL OF LONG BEACH,2776 PACIFIC AVENUE,LONG BEACH,LOS ANGELES,CA,USA,90806,GENERAL ACUTE CARE,121,33.80709287,-118.1933899
71794577,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,,2500 MERCED STREET,SAN LEANDRO,ALAMEDA,CA,USA,94577,GENERAL ACUTE CARE,216,37.7064062,-122.1646545
72590723,PROMISE HOSPITAL OF EAST LOS ANGELES-SUBURBAN CAMPUS,,16453 SOUTH COLORADO AVENUE,PARAMOUNT,LOS ANGELES,CA,USA,90723,LONG TERM CARE,177,33.88463186,-118.1622671
73790650,DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,,11401 BLOOMFIELD AVENUE,NORWALK,LOS ANGELES,CA,USA,90650,PSYCHIATRIC,1265,33.92803135,-118.0679897
74592592,TEMECULA VALLEY HOSPITAL,,31700 TEMECULA PKWY,TEMECULA,RIVERSIDE,CA,USA,92592,GENERAL ACUTE CARE,140,33.48046447,-117.1059546
85531419,ST JOSEPH'S HOSPITAL - SAVANNAH,,11705 MERCY BOULEVARD,SAVANNAH,CHATHAM,GA,USA,31419,GENERAL ACUTE CARE,-999,31.98543032,-81.15455637
86630165,KINDRED HOSPITAL ROME,,320 TURNER MCCALL BOULEVARD,ROME,FLOYD,GA,USA,30165,LONG TERM CARE,45,34.25971345,-85.18023963
87130286,UPSON REGIONAL MEDICAL CENTER,,801 W GORDON STREET,THOMASTON,UPSON,GA,USA,30286,GENERAL ACUTE CARE,115,32.8862977,-84.33650699
87531719,PHOEBE SUMTER MEDICAL CENTER,,126 HIGHWAY 280 W,AMERICUS,SUMTER,GA,USA,31719,GENERAL ACUTE CARE,76,32.06696234,-84.2560502
87931830,ROOSEVELT WARM SPRINGS LTAC HOSPITAL,,6135 ROOSEVELT HIGHWAY,WARM SPRINGS,MERIWETHER,GA,USA,31830,LONG TERM CARE,32,32.88798074,-84.6923449
90030265,SOUTHEASTERN REGIONAL MEDICAL CENTER,,600 CELEBRATE LIFE PKWY,NEWNAN,COWETA,GA,USA,30265,GENERAL ACUTE CARE,25,33.38483465,-84.75774669
150754656,MAYO CLINIC HLTH SYSTM FRANCISCAN HLTHCARE SPARTA,,310 W MAIN ST,SPARTA,MONROE,WI,USA,54656,CRITICAL ACCESS,25,43.94422596,-90.81438359
151253226,WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,WISCONSIN HEART HOSPITAL,10000 WEST BLUEMOUND ROAD,WAUWATOSA,MILWAUKEE,WI,USA,53226,GENERAL ACUTE CARE,40,43.03581215,-88.03726582
152354971,RIPON MEDICAL CENTER,,845 PARKSIDE ST,RIPON,FOND DU LAC,WI,USA,54971,CRITICAL ACCESS,18,43.83486875,-88.81800698
159171301,COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,,6410 MASONIC DRIVE,ALEXANDRIA,RAPIDES,LA,USA,71301,GENERAL ACUTE CARE,-999,31.25219156,-92.48198781
159670605,LAKE AREA MEDICAL CENTER,,4200 NELSON ROAD,LAKE CHARLES,CALCASIEU,LA,USA,70605,GENERAL ACUTE CARE,-999,30.18113208,-93.25034955
160270505,SPECIALTY HOSPITAL,,309 JACKSON STREET,MONROE,OUACHITA,LA,USA,70505,GENERAL ACUTE CARE,-999,32.49982124,-92.11455423
160970056,UNITED MEDICAL HEALTHWEST-NEW ORLEANS,,3201 WALL BOULEVARD,GRETNA,JEFFERSON,LA,USA,70056,REHABILITATION,-999,29.86597947,-90.03069185
161070071,BEACON BEHAVIORAL HOSPITAL,,2471 LOUISIANA AVE,LUTCHER,ST. JAMES,LA,USA,70071,PSYCHIATRIC,-999,30.04665434,-90.70017298
163170127,NEW ORLEANS EAST HOSPITAL,,5620 READ BLVD,NEW ORLEANS,ORLEANS,LA,USA,70127,GENERAL ACUTE CARE,-999,30.0289763,-89.97517048
163570394,OCSHNER ST. ANNE GENERAL HOSPITAL,,4608 HIGHWAY 1,RACELAND,LAFOURCHE,LA,USA,70394,GENERAL ACUTE CARE,38,29.70267142,-90.5652539
163670427,OUR LADY OF THE ANGELS HOSPITAL,,433 PLAZA STREET,BOGALUSA,WASHINGTON,LA,USA,70427,GENERAL ACUTE CARE,-999,30.7782294,-89.86934105
164970748,FELICIANA FORENSIC FACILITY,,4502 HWY 951,JACKSON,EAST FELICIANA,LA,USA,70748,GENERAL ACUTE CARE,-999,30.83263569,-91.21066049
27,EVANS ARMY COMMUNITY HOSPITAL,,1650 COCHRANE CIR,FORT CARSON,EL PASO,CO,USA,80913,MILITARY,-999,38.71911428,-104.7970689
35,ROBERT E. BUSH NAVAL HOSPITAL,,STURGIS ST,TWENTYNINE PALMS,SAN BERNARDINO,CA,USA,92278,MILITARY,-999,34.22706647,-116.0487938
493703,VA CENTRAL CALIFORNIA HEALTH CARE SYSTEM,,2615 E CLINTON AVE,FRESNO,FRESNO,CA,USA,93703,MILITARY,-999,36.77325043,-119.7791451
